iter	Passed	Remaining
0	0	63
1	1	68
2	2	68
3	2	63
4	3	59
5	3	57
6	4	54
7	4	53
8	5	51
9	5	50
10	6	49
11	6	48
12	7	48
13	7	48
14	8	49
15	9	52
16	10	52
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	14	47
23	14	46
24	15	45
25	15	44
26	16	43
27	16	42
28	17	41
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	25	32
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	38	18
67	38	18
68	40	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	52	7
87	53	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
